,0
1438,568.65
1439,513.39
1440,362.4
1441,285.59
1442,181.88
1443,237.53
1444,202.09
1445,379.39
1446,441.17
1447,481.72
1448,711.4
1449,725.17
1450,624.96
1451,352.67
1452,505.38
1453,532.2
1454,268.31
1455,427.14
1456,458.62
1457,767.91
1458,719.69
1459,1098.18
1460,882.36
1461,756.12
1462,520.13
1463,602.81
1464,411.6
1465,428.2
1466,209.76
1467,236.51
1468,299.11
1469,429.22
1470,706.4
1471,637.72
1472,651.68
1473,776.52
1474,786.71
1475,655.55
1476,673.13
1477,623.96
1478,586.26
1479,436.45
1480,727.12
1481,831.23
1482,1024.89
1483,1260.45
1484,1110.29
1485,1078.86
1486,797.54
1487,376.06
1488,390.6
1489,393.12
1490,236.9
1491,221.01
1492,268.95
1493,421.21
1494,459.09
1495,539.93
1496,646.13
1497,554.67
1498,793.0
1499,482.71
1500,633.02
1501,614.55
1502,504.91
1503,484.36
1504,608.42
1505,937.25
1506,1211.67
1507,1130.65
1508,950.09
1509,790.76
1510,680.1
1511,589.83
1512,395.36
1513,248.12
1514,138.99
1515,228.23
1516,205.35
1517,482.97
1518,397.8
1519,547.96
1520,616.57
1521,781.62
1522,836.29
1523,784.87
1524,692.86
1525,398.03
1526,401.16
1527,348.84
1528,530.21
1529,712.46
1530,976.7
1531,919.5
1532,1229.6
1533,742.84
1534,731.94
1535,538.76
1536,393.64
1537,209.66
1538,155.46
1539,149.25
1540,256.99
1541,388.24
1542,450.19
1543,467.33
1544,682.46
1545,557.99
1546,729.8
1547,584.45
1548,658.91
1549,489.28
1550,459.23
1551,573.86
1552,527.89
1553,790.2
1554,741.26
1555,1034.01
1556,687.94
1557,788.84
1558,790.58
1559,442.68
1560,447.55
1561,266.94
1562,207.6
1563,176.91
1564,290.0
1565,366.18
1566,475.82
1567,589.3
1568,435.86
1569,700.6
1570,600.78
1571,700.43
1572,630.15
1573,481.63
1574,356.5
1575,410.37
1576,641.28
1577,790.91
1578,988.46
1579,701.62
1580,860.63
1581,669.27
1582,432.47
1583,498.21
1584,376.92
1585,259.38
1586,196.85
1587,154.27
1588,261.88
1589,349.96
1590,414.98
1591,569.91
1592,561.95
1593,699.34
1594,599.93
1595,496.79
1596,619.27
1597,512.65
1598,371.19
1599,367.09
1600,581.83
1601,895.92
1602,778.46
1603,800.34
1604,817.92
1605,918.97
1606,534.35
1607,459.55
1608,339.12
1609,266.33
1610,187.05
1611,137.14
1612,220.69
1613,343.7
1614,396.23
1615,543.56
1616,650.06
1617,604.74
1618,702.42
1619,578.15
1620,531.29
1621,458.09
1622,352.49
1623,428.95
1624,424.06
1625,834.15
1626,976.58
1627,874.31
1628,937.0
1629,1036.32
1630,748.13
1631,580.19
1632,445.02
1633,318.15
1634,192.44
1635,231.86
1636,281.87
1637,362.9
1638,577.89
1639,672.95
1640,657.12
1641,857.7
1642,672.19
1643,770.56
1644,649.82
1645,447.66
1646,443.26
1647,337.71
1648,371.17
1649,648.27
1650,676.93
1651,1016.56
1652,1190.18
1653,855.95
1654,609.37
1655,466.68
1656,364.61
1657,338.24
1658,182.96
1659,172.62
1660,246.96
1661,431.06
1662,347.84
1663,501.78
1664,694.81
1665,655.26
1666,790.27
1667,729.35
1668,550.09
1669,410.61
1670,461.34
1671,349.29
1672,562.87
1673,630.16
1674,815.93
1675,941.81
1676,855.46
1677,655.09
1678,494.42
1679,541.13
1680,390.38
1681,223.12
1682,182.37
1683,201.55
1684,219.84
1685,444.16
1686,574.28
1687,590.66
1688,635.74
1689,662.81
1690,612.1
1691,658.49
1692,517.67
1693,513.48
1694,422.6
1695,406.82
1696,461.54
1697,654.88
1698,467.38
1699,1165.04
1700,1038.35
1701,709.24
1702,485.22
1703,506.02
1704,371.51
1705,285.34
1706,167.59
1707,155.69
1708,137.79
1709,279.16
1710,350.8
1711,491.8
1712,505.96
1713,474.19
1714,642.96
1715,452.55
1716,531.86
1717,477.09
1718,373.94
1719,342.47
1720,552.55
1721,611.29
1722,754.9
1723,614.42
1724,824.79
1725,735.82
1726,762.37
1727,424.95
1728,307.79
1729,311.88
1730,128.26
1731,235.29
1732,256.45
1733,362.81
1734,588.96
1735,539.17
1736,766.98
1737,621.84
1738,704.98
1739,725.91
1740,562.65
1741,447.54
1742,518.67
1743,486.58
1744,622.96
1745,851.6
1746,1147.53
1747,1123.09
1748,923.09
1749,929.91
1750,692.5
1751,678.13
1752,396.0
1753,275.33
1754,207.26
1755,137.79
1756,167.17
1757,474.13
1758,498.37
1759,647.23
1760,546.4
1761,792.64
1762,642.77
1763,755.97
1764,644.15
1765,489.98
1766,474.09
1767,453.69
1768,590.71
1769,959.76
1770,1002.39
1771,810.96
1772,1052.16
1773,891.29
1774,881.27
1775,542.2
1776,483.93
1777,323.13
1778,211.61
1779,260.75
1780,257.45
1781,630.66
1782,555.93
1783,630.56
1784,910.03
1785,678.24
1786,812.75
1787,785.08
1788,678.84
1789,532.02
1790,498.21
1791,490.99
1792,541.07
1793,964.39
1794,1158.28
1795,1298.26
1796,1168.74
1797,781.1
1798,841.8
1799,596.77
1800,440.03
1801,362.3
1802,245.16
1803,245.96
1804,279.21
1805,387.6
1806,622.52
1807,559.4
1808,593.57
1809,591.75
1810,690.81
1811,568.1
1812,593.23
1813,517.79
1814,390.99
1815,532.15
1816,640.21
1817,970.65
1818,1009.54
1819,1215.94
1820,1090.76
1821,794.78
1822,826.33
1823,602.12
1824,239.02
1825,182.76
1826,181.57
1827,157.01
1828,196.31
1829,296.89
1830,247.69
1831,470.67
1832,554.99
1833,705.72
1834,529.37
1835,593.68
1836,441.83
1837,291.3
1838,319.54
1839,441.65
1840,417.97
1841,835.42
1842,975.44
1843,552.58
1844,884.52
1845,761.93
1846,571.89
1847,348.34
1848,512.5
1849,277.96
1850,192.41
1851,221.13
1852,289.91
1853,395.05
1854,502.68
1855,545.2
1856,662.93
1857,624.71
1858,690.21
1859,720.0
1860,627.63
1861,497.79
1862,453.79
1863,452.32
1864,632.39
1865,732.69
1866,1066.66
1867,1087.16
1868,1073.77
1869,932.97
1870,601.86
1871,494.05
1872,294.77
1873,337.89
1874,204.35
1875,159.45
1876,247.54
1877,423.37
1878,394.87
1879,335.6
1880,544.14
1881,420.71
1882,461.08
1883,338.95
1884,423.13
1885,576.24
1886,370.72
1887,356.71
1888,540.9
1889,646.11
1890,728.36
1891,1147.41
1892,1016.36
1893,671.37
1894,659.63
1895,474.15
1896,392.08
1897,269.59
1898,204.64
1899,203.7
1900,241.83
1901,437.63
1902,478.92
1903,553.24
1904,669.44
1905,669.76
1906,741.34
1907,632.76
1908,752.67
1909,456.12
1910,475.77
1911,497.05
1912,643.35
1913,909.46
1914,1047.7
1915,1497.35
1916,1310.07
1917,963.66
1918,793.58
1919,561.13
1920,456.13
1921,285.49
1922,207.91
1923,216.76
1924,237.61
1925,403.03
1926,440.29
1927,567.66
1928,685.18
1929,758.6
1930,628.92
1931,629.91
1932,649.22
1933,420.69
1934,434.23
1935,397.98
1936,500.46
1937,747.12
1938,1054.2
1939,1053.24
1940,941.9
1941,1133.92
1942,589.04
1943,586.18
1944,251.02
1945,242.19
1946,193.26
1947,212.05
1948,213.97
1949,374.74
1950,388.72
1951,394.99
1952,573.12
1953,494.18
1954,796.39
1955,733.26
1956,611.34
1957,607.6
1958,383.28
1959,423.29
1960,490.83
1961,793.9
