,0
1377,11203935
1378,11244033
1379,11254965
1380,11223247
1381,11278651
1382,11291353
1383,11339460
1384,11160093
1385,11167505
1386,11129619
1387,11057718
1388,11106684
1389,11222457
1390,11207935
1391,11165141
1392,11113131
1393,11192483
1394,11200859
1395,11324743
1396,11408671
1397,11568724
1398,11800465
1399,11957886
1400,12082570
1401,12099453
1402,11879905
1403,11903317
1404,11732790
1405,11608080
1406,11426141
1407,11344140
1408,11145999
1409,10947767
1410,10701263
1411,10625311
1412,10433842
1413,10377310
1414,10247971
1415,10168614
1416,9979142
1417,10138611
1418,10468980
1419,10476100
1420,10426272
1421,10467684
1422,10443444
1423,10150332
1424,10032039
1425,9602938
1426,9464350
1427,9282385
1428,9214863
1429,9134220
1430,8938347
1431,8674129
1432,8734583
1433,8707180
1434,8619788
1435,8503974
1436,8369814
1437,8411856
1438,8318068
1439,8316615
1440,8371594
1441,8383244
1442,8367608
1443,8515526
1444,8558655
1445,8725227
1446,8957687
1447,9181526
1448,9478748
1449,9704255
1450,10156195
1451,10466794
1452,10546806
1453,10780124
1454,10979169
1455,11120265
1456,11113644
1457,11209364
1458,11219592
1459,11234627
1460,11225370
1461,11182827
1462,11174524
1463,11157066
1464,11135841
1465,11142858
1466,11136281
1467,11110852
1468,11242211
1469,11280241
1470,11361637
1471,11358297
1472,11206969
1473,11058824
1474,11136586
1475,11173903
1476,11125363
1477,11159534
1478,11294574
1479,11190191
1480,11254244
1481,11095636
1482,11124936
1483,10930335
1484,11029762
1485,10923850
1486,10888456
1487,11021327
1488,10885126
1489,10892607
1490,10795900
1491,10944483
1492,11136511
1493,11618149
1494,11872291
1495,12042049
1496,11969634
1497,11829221
1498,11809800
1499,11776985
1500,11512177
1501,11321593
1502,11164011
1503,10995032
1504,10989968
1505,10716868
1506,10516251
1507,10371541
1508,10294721
1509,10130038
1510,10056106
1511,9736715
1512,10035060
1513,10241028
1514,10278964
1515,10198615
1516,10308659
1517,10192764
1518,9915773
1519,9726763
1520,9559811
1521,9333801
1522,9208018
1523,9043233
1524,8999340
1525,8826849
1526,8714794
1527,8658445
1528,8507554
1529,8500972
1530,8386754
1531,8391141
1532,8360742
1533,8425582
1534,8454374
1535,8507332
1536,8445584
1537,8479671
1538,8561778
1539,8676033
1540,8738215
1541,8852457
1542,9134094
1543,9444314
1544,9721539
1545,10053520
1546,10280647
1547,10440490
1548,10589747
1549,10812040
1550,11014430
1551,11167841
1552,11180262
1553,11110889
1554,11114808
1555,11064669
1556,11077962
1557,11129336
1558,11041864
1559,10968741
1560,10873152
1561,10788224
1562,10732060
1563,10692776
1564,10717401
1565,10770227
1566,10606021
1567,10373648
1568,10272397
1569,10379308
1570,10411270
1571,10461758
1572,10439768
1573,10424354
1574,10504916
1575,10472755
1576,10512123
1577,10473942
1578,10490921
1579,10565159
1580,10740001
1581,10726959
1582,10764021
1583,10756015
1584,10763025
1585,10860676
1586,10935005
1587,11178481
1588,11430384
1589,11682456
1590,11703709
1591,11634699
1592,11536604
1593,11513188
1594,11262037
1595,11039273
1596,10948170
1597,10746558
1598,10693194
1599,10501491
1600,10393796
1601,10365701
1602,10071142
1603,10008201
1604,9942303
1605,9741359
1606,9682862
1607,9882376
1608,10082611
1609,10093072
1610,10137028
1611,10341609
1612,10226448
1613,10022309
1614,9833682
1615,9476312
1616,9462163
1617,9219955
1618,9103890
1619,8950664
1620,8907626
1621,8707312
1622,8563935
1623,8458444
1624,8519408
1625,8485111
1626,8300575
1627,8227127
1628,8164866
1629,8171847
1630,8134360
1631,8044063
1632,8027729
1633,7989059
1634,7946274
1635,8057241
1636,8016949
1637,8184323
1638,8196571
1639,8234837
1640,8422269
1641,8463592
1642,8376146
1643,8491651
1644,8604444
1645,8678884
1646,8812891
1647,8979156
1648,9092446
1649,9081470
1650,9161455
1651,9255151
1652,9250500
1653,9199281
1654,9245721
1655,9206712
1656,9202547
1657,9182632
1658,9216900
1659,9112722
1660,9155900
1661,9200257
1662,9153015
1663,9112873
1664,9101851
1665,9100599
1666,9165015
1667,9117129
1668,9165230
1669,9108906
1670,9093020
1671,8933763
1672,8981947
1673,8929834
1674,8965760
1675,8878747
1676,8982860
1677,9112870
1678,9118077
1679,9117754
1680,9153807
1681,9310114
1682,9495125
1683,9868802
1684,10316469
1685,10464865
1686,10384481
1687,10427833
1688,10396445
1689,10320357
1690,10149868
1691,9978649
1692,9940845
1693,9777141
1694,9675080
1695,9533195
1696,9558499
1697,9328857
1698,9292578
1699,9148266
1700,8998813
1701,9031782
1702,9024656
1703,9279645
1704,9299090
1705,9298081
1706,9496736
1707,9434077
1708,9303311
1709,9247535
1710,8931351
1711,8703081
1712,8536856
1713,8452695
1714,8361452
1715,8290986
1716,8199285
1717,8057472
1718,7974698
1719,7828830
1720,7741405
1721,7717784
1722,7651540
1723,7621083
1724,7619678
1725,7600369
1726,7578651
1727,7547577
1728,7583874
1729,7562462
1730,7588825
1731,7648005
1732,7673088
1733,7680804
1734,7787940
1735,7717755
1736,7781075
1737,7726564
1738,7839537
1739,7904980
1740,8022375
1741,8098187
1742,8262200
1743,8375648
1744,8390849
1745,8521602
1746,8749060
1747,8786680
1748,8812633
1749,8842855
1750,8980725
1751,9029612
1752,9105150
1753,9078548
1754,9084021
1755,9157975
1756,9278514
1757,9300409
1758,9315648
1759,9258968
1760,9144519
1761,9043036
1762,8907051
1763,8878861
1764,8826470
1765,8818201
1766,8823910
1767,8901424
1768,8805296
1769,8908412
1770,8842535
1771,8932187
1772,8846823
1773,8879147
1774,8904833
1775,8951181
1776,9120212
1777,9315617
1778,9652983
1779,10002209
1780,10200916
1781,10269325
1782,10341592
1783,10199569
1784,10305686
1785,10361948
1786,10270839
1787,10157577
1788,10258428
1789,10261473
1790,10019920
1791,9917717
1792,9716082
1793,9647584
1794,9520597
1795,9340349
1796,9328758
1797,9515982
1798,9608570
1799,9549372
1800,9614000
1801,9718641
1802,9628147
1803,9433825
1804,9255637
1805,8967516
1806,8859214
1807,8654388
1808,8680683
1809,8575340
1810,8432780
1811,8355644
1812,8228355
1813,8217090
1814,8118108
1815,8048044
1816,7944850
1817,7961135
1818,8000478
1819,7915079
1820,8001101
1821,8022939
1822,8178762
1823,8160263
1824,8399354
1825,8580783
1826,8853553
1827,9037414
1828,9405577
1829,9811668
1830,10122285
1831,10517495
1832,10704788
1833,10937166
1834,11065342
1835,11114423
1836,11383678
1837,11410754
1838,11375235
1839,11364328
1840,11325212
1841,11392211
1842,11387037
1843,11477175
1844,11361366
1845,11409166
1846,11542598
1847,11521212
1848,11534462
1849,11468381
1850,11547752
1851,11497076
1852,11337266
1853,11199926
1854,11236119
1855,11340955
1856,11305823
1857,11305893
1858,11391212
1859,11355486
1860,11361628
1861,11366218
1862,11260731
1863,11235598
1864,11434202
1865,11289624
1866,11375764
1867,11357884
1868,11381401
1869,11415647
1870,11456866
1871,11468233
1872,11634729
1873,11913405
1874,12090673
1875,12132910
1876,12245670
1877,12171588
1878,12079745
1879,11844462
1880,11704078
1881,11499870
1882,11380442
1883,11296344
1884,11154966
1885,11090189
1886,10929510
1887,10611916
1888,10468788
1889,10430340
1890,10295513
1891,10166470
1892,10422511
1893,10598325
1894,10676628
1895,10628613
1896,10684949
1897,10542815
1898,10353836
1899,10255408
1900,9918942
1901,9817908
1902,9748802
1903,9630328
1904,9455384
1905,9322546
1906,9205314
1907,9132235
1908,8936533
1909,8866016
1910,8975229
1911,8913201
1912,8803130
1913,8734037
1914,8734698
1915,8752563
1916,8917172
1917,8861924
1918,9049909
1919,9175024
1920,9227253
1921,9363050
1922,9373376
1923,9873372
1924,10237998
1925,10679030
1926,10827755
1927,10879166
1928,11192781
1929,11465952
1930,11685175
1931,11684235
1932,11711214
1933,11622861
1934,11618226
1935,11643424
1936,11617544
1937,11587595
1938,11608124
1939,11584474
1940,11552203
1941,11679205
1942,11634724
1943,11597552
1944,11608198
1945,11643122
1946,11587527
1947,11368044
1948,11351236
1949,11308207
1950,11371335
1951,11376833
1952,11418822
1953,11324678
1954,11402236
1955,11383868
1956,11364332
1957,11343100
1958,11208418
1959,11380266
1960,11394884
1961,11381264
1962,11310248
1963,11416611
1964,11368845
1965,11399809
1966,11492149
1967,11606982
1968,11984245
1969,12305196
1970,12469156
1971,12421153
1972,12338576
1973,12259243
1974,12209115
1975,11969368
1976,11816328
1977,11729374
1978,11524441
1979,11374493
1980,11168844
1981,11018113
1982,10856469
1983,10681792
1984,10517574
1985,10325164
1986,10218145
1987,10494323
1988,10690081
1989,10860519
1990,10716427
1991,10815157
1992,10610444
1993,10599153
1994,10357594
1995,9968549
1996,9855150
1997,9775839
1998,9604414
1999,9458060
2000,9331894
2001,9249912
2002,9283975
2003,9126711
2004,9096706
2005,8967907
2006,8910946
2007,8845553
2008,8832184
2009,8797481
2010,8907156
2011,8883479
2012,8826648
2013,9004549
2014,9152017
2015,9224358
2016,9416000
2017,9651779
2018,10034263
2019,10292353
2020,10622294
2021,10781922
2022,10870996
2023,11191296
2024,11420470
2025,11484678
2026,11515311
2027,11486491
2028,11485904
2029,11475436
2030,11466987
2031,11420598
2032,11362742
2033,11340292
2034,11181922
2035,11087040
2036,10990501
2037,10995843
2038,11021634
2039,10947349
2040,11017154
2041,10893183
2042,10602381
2043,10542302
2044,10570473
2045,10617055
2046,10752248
2047,10743596
2048,10799864
2049,10771437
2050,10812775
2051,10831961
2052,10885244
2053,10887498
2054,11090354
2055,11083765
2056,11162893
2057,11135180
2058,11143917
2059,11126313
2060,11277540
2061,11315768
2062,11483066
2063,11679455
2064,12072033
2065,12300626
2066,12287390
2067,12216555
2068,12070685
2069,11975562
2070,11791587
2071,11725855
2072,11526148
2073,11474801
2074,11307475
2075,11083670
2076,10958165
2077,10733753
2078,10658187
2079,10555195
2080,10422620
2081,10178895
2082,10487957
2083,10729243
2084,10850523
2085,10726064
2086,10770676
2087,10722324
2088,10579997
2089,10409631
2090,10076083
2091,9893738
2092,9718197
2093,9612118
2094,9507246
2095,9472504
2096,9355951
2097,9410369
2098,9240072
2099,9056419
2100,9059201
2101,8949664
2102,8963242
2103,8808829
2104,8884008
2105,8889212
2106,8860576
2107,8916344
2108,9029589
2109,9109436
2110,9306822
2111,9405416
2112,9546276
2113,9988339
2114,10238633
2115,10587407
2116,10781832
2117,10929739
2118,11143886
2119,11436136
2120,11648105
2121,11588550
2122,11709299
2123,11648565
2124,11658212
2125,11600210
2126,11685887
2127,11700090
2128,11731368
2129,11635817
2130,11544955
2131,11621511
2132,11598627
2133,11570152
2134,11613892
2135,11620503
2136,11508424
2137,11329637
2138,11175259
2139,11180386
2140,11215366
