,p,sale,collcet,cn_add,cn_z,picture,opening_hours,hp,tk,NNN
330,1,0,0,0,0,0,0,4,0,0
331,1,0,0,0,0,0,0,4,0,0
332,1,0,0,0,0,0,0,4,0,0
333,1,0,0,0,0,0,0,4,0,0
334,1,0,0,0,0,0,0,4,0,0
335,1,0,0,0,0,0,0,4,1,0
336,1,0,0,0,0,0,0,4,1,0
337,1,0,0,0,0,0,0,4,0,0
338,1,0,0,0,0,0,0,4,0,0
339,1,0,0,0,0,0,0,4,0,0
340,1,0,0,0,0,0,0,4,1,0
341,1,0,0,0,0,0,0,4,1,0
342,1,0,0,0,0,0,0,4,1,0
343,3,0,0,0,0,0,0,4,1,0
344,3,0,0,0,0,0,0,4,1,0
345,3,0,0,0,0,0,0,4,0,0
346,3,0,0,0,0,0,0,4,0,0
347,1,0,0,0,0,0,0,4,0,0
348,1,0,0,0,0,0,0,4,0,0
349,1,0,0,0,0,0,0,4,0,0
350,1,0,0,0,0,0,0,4,0,0
351,1,0,0,0,0,0,0,4,0,0
352,1,0,0,0,0,0,0,4,0,0
353,1,0,0,0,0,0,0,4,0,0
354,1,0,0,0,0,0,0,4,0,0
355,1,0,0,0,0,0,0,4,0,0
356,1,0,0,0,0,0,0,4,0,0
357,1,0,0,0,0,0,0,4,0,0
358,1,0,0,0,0,0,0,4,1,0
359,1,0,0,0,0,0,0,4,0,0
360,1,0,0,0,0,0,0,4,0,0
361,1,0,0,0,0,0,0,4,2,0
362,1,0,0,0,0,0,0,4,2,0
363,1,0,0,0,0,0,0,4,3,0
364,1,0,0,0,0,0,0,4,2,0
365,1,0,0,0,0,0,0,4,2,0
366,1,0,0,0,0,0,0,4,1,0
367,1,0,0,0,0,0,0,4,1,0
368,1,0,0,0,0,0,0,4,0,0
369,1,0,0,0,0,0,0,4,0,0
370,1,0,0,0,0,0,0,4,0,0
371,1,0,0,0,0,0,0,2,0,0
372,1,0,0,0,0,0,0,4,0,0
373,1,0,0,0,0,0,0,4,0,0
374,1,0,0,0,0,0,0,4,0,0
375,1,0,0,0,0,0,0,2,0,0
376,1,0,0,0,0,0,0,4,0,0
377,1,0,0,0,0,0,0,4,1,0
378,1,0,0,0,0,0,0,4,1,0
379,1,0,0,0,0,0,0,0,2,0
380,1,0,0,0,0,0,0,0,2,0
381,1,0,0,0,0,0,0,0,2,0
382,1,0,0,0,0,0,0,4,1,0
383,1,0,0,0,0,0,0,4,1,0
384,1,0,0,0,0,0,0,4,1,0
385,1,0,0,0,0,0,0,4,1,0
386,1,0,0,0,0,0,0,2,1,0
387,1,0,0,0,0,0,0,2,1,0
388,1,0,0,0,0,0,0,2,1,0
389,1,0,0,0,0,0,0,2,1,0
390,1,0,0,0,0,0,0,2,0,0
391,1,0,0,0,0,0,0,2,1,0
392,1,0,0,0,0,0,0,2,1,0
393,1,0,0,0,0,0,0,2,1,0
394,1,0,0,0,0,0,0,2,1,0
