,p,sale,collcet,cn_add,cn_z,picture,opening_hours,hp,tk,NNN,v1,v2
377,1,0,0,0,0,0,0,4,1,0,3,0
378,1,0,0,0,0,0,0,4,1,0,3,0
379,1,0,0,0,0,0,0,0,2,0,1,0
380,1,0,0,0,0,0,0,0,2,0,1,0
381,1,0,0,0,0,0,0,0,2,0,1,0
382,1,0,0,0,0,0,0,4,1,0,3,0
383,1,0,0,0,0,0,0,4,1,0,3,0
384,1,0,0,0,0,0,0,4,1,0,3,0
385,1,0,0,0,0,0,0,4,1,0,3,0
386,1,0,0,0,0,0,0,2,1,0,2,0
387,1,0,0,0,0,0,0,2,1,0,2,0
388,1,0,0,0,0,0,0,2,1,0,2,0
389,1,0,0,0,0,0,0,2,1,0,2,0
390,1,0,0,0,0,0,0,2,0,0,1,0
391,1,0,0,0,0,0,0,2,1,0,2,0
392,1,0,0,0,0,0,0,2,1,0,2,0
393,1,0,0,0,0,0,0,2,1,0,2,0
394,1,0,0,0,0,0,0,2,1,0,2,0
